step,reward,loss,epsilon,hit
367,-0.09000000000000001,,0.95641875,False
368,-0.05,,0.9563,False
369,-0.05,,0.95618125,False
370,-0.1,,0.9560625,False
371,-0.09000000000000001,,0.95594375,False
372,-0.09000000000000001,,0.955825,False
373,-0.1,,0.95570625,False
374,-0.1,,0.9555875,False
375,-0.1,,0.95546875,False
376,-0.1,,0.95535,False
377,-0.1,,0.95523125,False
378,-0.05,,0.9551125,False
379,-0.1,,0.95499375,False
380,-0.1,,0.954875,False
381,0.5,,0.95475625,True
382,-0.1,,0.9546375,False
383,-0.05,,0.95451875,False
384,-0.05,,0.9544,False
385,-0.1,,0.95428125,False
386,0.5,,0.9541625,True
387,1.0,,0.95404375,True
388,1.0,,0.953925,True
389,-0.05,,0.95380625,False
390,-0.1,,0.9536875,False
391,-0.09000000000000001,,0.95356875,False
392,-0.05,,0.95345,False
393,-0.1,,0.95333125,False
394,1.0,,0.9532125,True
395,-0.05,,0.95309375,False
396,1.0,,0.952975,True
397,1.0,,0.95285625,True
398,1.0,,0.9527375,True
399,1.0,,0.95261875,True
400,1.0,,0.9525,True
401,-0.05,,0.95238125,False
402,1.0,,0.9522625,True
403,1.0,,0.95214375,True
404,-0.05,,0.952025,False
405,-0.05,,0.95190625,False
406,-0.09000000000000001,,0.9517875,False
407,-0.05,,0.9516687500000001,False
408,-0.1,,0.95155,False
409,-0.05,,0.95143125,False
410,-0.05,,0.9513125,False
411,-0.1,,0.9511937500000001,False
412,-0.05,,0.951075,False
413,-0.1,,0.95095625,False
414,-0.05,,0.9508375,False
415,-0.1,,0.9507187500000001,False
416,-0.1,,0.9506,False
417,1.4,,0.95048125,True
418,-0.1,,0.9503625,False
419,-0.05,,0.95024375,False
420,-0.09000000000000001,,0.950125,False
421,-0.1,,0.95000625,False
422,-0.05,,0.9498875,False
423,-0.1,,0.94976875,False
424,-0.05,,0.94965,False
425,-0.05,,0.94953125,False
426,-0.1,,0.9494125,False
427,-0.05,,0.94929375,False
428,1.0,,0.949175,True
429,-0.05,,0.94905625,False
430,-0.05,,0.9489375,False
431,-0.05,,0.94881875,False
432,-0.05,,0.9487,False
433,-0.05,,0.94858125,False
434,1.0,,0.9484625,True
435,-0.1,,0.94834375,False
436,-0.05,,0.948225,False
437,-0.1,,0.94810625,False
438,-0.07,,0.9479875,False
439,-0.07,,0.94786875,False
440,-0.07,,0.94775,False
441,-0.1,,0.94763125,False
442,-0.1,,0.9475125,False
443,-0.05,,0.94739375,False
444,-0.1,,0.947275,False
445,1.0,,0.94715625,True
446,-0.05,,0.9470375,False
447,-0.1,,0.94691875,False
448,-0.1,,0.9468,False
449,-0.05,,0.94668125,False
450,-0.05,,0.9465625,False
451,-0.07,,0.94644375,False
452,-0.07,,0.946325,False
453,-0.05,,0.94620625,False
454,-0.1,,0.9460875,False
455,-0.07,,0.94596875,False
456,-0.07,,0.94585,False
457,-0.1,,0.94573125,False
458,-0.07,,0.9456125,False
459,-0.1,,0.94549375,False
460,-0.07,,0.945375,False
461,-0.1,,0.94525625,False
462,-0.07,,0.9451375,False
463,-0.07,,0.94501875,False
464,-0.07,,0.9449,False
465,-0.07,,0.94478125,False
466,-0.07,,0.9446625,False
467,-0.1,,0.94454375,False
468,-0.07,,0.944425,False
469,-0.1,,0.94430625,False
470,-0.07,,0.9441875,False
471,-0.1,,0.94406875,False
472,-0.07,,0.94395,False
473,-0.07,,0.94383125,False
474,-0.07,,0.9437125,False
475,-0.07,,0.94359375,False
476,-0.07,,0.9434750000000001,False
477,-0.07,,0.94335625,False
478,-0.07,,0.9432375,False
479,-0.07,,0.94311875,False
480,-0.07,,0.9430000000000001,False
481,-0.1,,0.94288125,False
482,-0.1,,0.9427625,False
